epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1226.11,0.77223,1.09413,1.35106,0.4029,0.25756,0.2306,0.15756,1.54566,2.92969,2.10019,0.000552695,0.000552695,0.000552695
2,2422.65,0.8027,0.95576,1.34872,0.54263,0.25171,0.2117,0.14495,1.66087,3.25488,2.19751,0.00108642,0.00108642,0.00108642
3,3635.56,0.85521,0.98616,1.3791,0.37857,0.28348,0.24072,0.15956,1.69445,2.74577,2.21016,0.00159813,0.00159813,0.00159813
4,4852.93,0.85601,0.98479,1.3787,0.48559,0.25125,0.22681,0.14168,1.77098,2.72886,2.38566,0.00156798,0.00156798,0.00156798
5,6014.17,0.8371,0.97667,1.36513,0.29233,0.22678,0.14672,0.06682,2.21306,3.75534,3.08168,0.00153497,0.00153497,0.00153497
6,31187.1,0.82781,0.9534,1.35311,0.41096,0.26598,0.23779,0.15944,1.63156,2.73117,2.1614,0.00150197,0.00150197,0.00150197
7,32110.1,0.83769,0.9691,1.37178,0.40259,0.2563,0.22063,0.14439,1.72728,2.73471,2.38817,0.00146896,0.00146896,0.00146896
8,32988.7,0.81382,0.93586,1.33636,0.46421,0.27896,0.26316,0.18216,1.63959,2.74858,2.15477,0.00143595,0.00143595,0.00143595
9,34976.3,0.80266,0.90941,1.34323,0.38574,0.27657,0.25434,0.16777,1.54627,2.46398,2.02382,0.00140295,0.00140295,0.00140295
10,36141.2,0.78982,0.90745,1.32671,0.40313,0.30616,0.2733,0.16915,1.6508,2.53288,2.14817,0.00136994,0.00136994,0.00136994
11,47508.4,0.7887,0.9027,1.33207,0.41715,0.24505,0.24061,0.16224,1.66001,2.55271,2.21498,0.00133693,0.00133693,0.00133693
12,48718.8,0.77744,0.89609,1.32473,0.37623,0.27554,0.23244,0.15832,1.64103,3.0498,2.24534,0.00130393,0.00130393,0.00130393
13,50140.3,0.77846,0.87376,1.31961,0.38512,0.29282,0.25923,0.16857,1.59603,2.64506,2.12509,0.00127092,0.00127092,0.00127092
14,51364.6,0.76423,0.84404,1.30796,0.41399,0.25332,0.24263,0.14974,1.7388,2.94754,2.34264,0.00123791,0.00123791,0.00123791
15,52521.5,0.76651,0.83109,1.31125,0.47229,0.2614,0.28435,0.18407,1.52828,2.55313,2.02607,0.00120491,0.00120491,0.00120491
16,53423.9,0.75236,0.83353,1.30303,0.40978,0.28256,0.25692,0.17474,1.54964,2.61461,2.04229,0.0011719,0.0011719,0.0011719
17,54378,0.74552,0.82447,1.29244,0.38008,0.27605,0.24703,0.15998,1.54163,2.48967,2.06927,0.00113889,0.00113889,0.00113889
18,56311.7,0.74213,0.82611,1.29405,0.38201,0.26056,0.23478,0.15966,1.60152,2.59187,2.15135,0.00110589,0.00110589,0.00110589
19,59934.9,0.74139,0.8059,1.29078,0.36505,0.24792,0.22357,0.14878,1.61775,2.89231,2.19625,0.00107288,0.00107288,0.00107288
20,61154.5,0.72979,0.80832,1.27499,0.41582,0.2771,0.26325,0.18168,1.51304,2.63973,2.0408,0.00103987,0.00103987,0.00103987
21,62346.9,0.72871,0.80917,1.27046,0.39015,0.26358,0.24377,0.15738,1.67807,2.86217,2.27494,0.00100687,0.00100687,0.00100687
22,63529.2,0.71495,0.78699,1.27228,0.36254,0.2706,0.25977,0.17411,1.59384,2.60186,2.13055,0.000973861,0.000973861,0.000973861
23,64710.2,0.71129,0.77753,1.27102,0.36742,0.29335,0.25262,0.17148,1.49542,2.5752,2.03814,0.000940855,0.000940855,0.000940855
24,65927.8,0.71696,0.79562,1.27979,0.42112,0.27976,0.25688,0.18163,1.52983,2.77367,2.05691,0.000907848,0.000907848,0.000907848
25,67119.8,0.72137,0.7781,1.28116,0.45293,0.30341,0.27093,0.18201,1.49018,2.43195,1.94436,0.000874842,0.000874842,0.000874842
26,68184.5,0.70513,0.75592,1.26615,0.37156,0.28103,0.23952,0.16088,1.48553,2.44868,2.00114,0.000841835,0.000841835,0.000841835
27,70890,0.70296,0.75866,1.26294,0.4531,0.28954,0.28734,0.19699,1.44986,2.39401,1.97954,0.000808828,0.000808828,0.000808828
28,71794,0.71287,0.77169,1.26744,0.37447,0.32434,0.25297,0.16853,1.49125,2.4505,2.00928,0.000775822,0.000775822,0.000775822
29,72874.6,0.69915,0.7516,1.25184,0.4544,0.30101,0.29487,0.1906,1.4736,2.32913,1.96271,0.000742815,0.000742815,0.000742815
30,74173,0.68516,0.73058,1.24596,0.39593,0.3192,0.29232,0.20026,1.45059,2.54711,2.00028,0.000709809,0.000709809,0.000709809
31,75395.9,0.6771,0.72602,1.23873,0.44474,0.27638,0.24839,0.15968,1.48162,2.48997,2.01099,0.000676802,0.000676802,0.000676802
32,76696.9,0.67081,0.72529,1.23978,0.46367,0.26705,0.27251,0.18406,1.51754,2.59756,2.06276,0.000643795,0.000643795,0.000643795
33,77854.2,0.68017,0.72528,1.24095,0.41532,0.31769,0.28516,0.19746,1.44944,2.54836,1.98158,0.000610789,0.000610789,0.000610789
