epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,12137.8,0.61542,0.65877,1.21629,0.83347,0.80316,0.84808,0.68125,0.82598,0.88923,1.54355,0.00100687,0.00100687,0.00100687
22,12614.1,0.62464,0.62591,1.21989,0.88374,0.80663,0.83301,0.67643,0.87741,0.89755,1.65391,0.000973861,0.000973861,0.000973861
23,13054.4,0.60317,0.59743,1.19663,0.9089,0.83529,0.87917,0.72279,0.76564,0.81992,1.45065,0.000940855,0.000940855,0.000940855
24,13664.1,0.60961,0.6029,1.20293,0.86262,0.79861,0.82108,0.65621,0.90679,0.91641,1.68505,0.000907848,0.000907848,0.000907848
25,17331.4,0.57645,0.56762,1.18297,0.88611,0.80139,0.86982,0.7086,0.8142,0.77584,1.49915,0.000874842,0.000874842,0.000874842
26,20445.7,0.59277,0.57631,1.19018,0.91444,0.79904,0.88053,0.7333,0.76059,0.72283,1.4677,0.000841835,0.000841835,0.000841835
27,21611.2,0.59125,0.56251,1.1923,0.89442,0.84553,0.87586,0.71995,0.77022,0.70753,1.54273,0.000808828,0.000808828,0.000808828
28,22322,0.59123,0.54723,1.19433,0.90667,0.8364,0.86698,0.71842,0.78807,0.75816,1.53286,0.000775822,0.000775822,0.000775822
29,22945.9,0.54358,0.52376,1.16451,0.92186,0.76445,0.85267,0.67572,0.88713,0.90016,1.61496,0.000742815,0.000742815,0.000742815
30,23568.8,0.56322,0.53864,1.16635,0.89219,0.80169,0.83895,0.68136,0.83452,0.83983,1.59288,0.000709809,0.000709809,0.000709809
31,24189.6,0.54154,0.50967,1.15287,0.84476,0.76274,0.84975,0.72047,0.73885,0.81167,1.43941,0.000676802,0.000676802,0.000676802
32,24816.1,0.55116,0.5414,1.16543,0.91106,0.83145,0.85332,0.72419,0.75376,0.72613,1.48075,0.000643795,0.000643795,0.000643795
33,25446.7,0.54305,0.49993,1.16276,0.89271,0.81736,0.82084,0.67438,0.83484,0.83029,1.61239,0.000610789,0.000610789,0.000610789
34,26074.5,0.53852,0.50094,1.15637,0.93516,0.81594,0.87677,0.74304,0.72883,0.74728,1.42286,0.000577782,0.000577782,0.000577782
35,26525.3,0.54939,0.50433,1.15871,0.92618,0.81502,0.86903,0.73994,0.76483,0.73359,1.4788,0.000544776,0.000544776,0.000544776
36,26935.5,0.52705,0.48156,1.14653,0.91392,0.84318,0.87819,0.73765,0.74243,0.73761,1.44561,0.000511769,0.000511769,0.000511769
37,27934.3,0.52406,0.46898,1.14397,0.91577,0.84056,0.87567,0.74928,0.70037,0.68881,1.40681,0.000478762,0.000478762,0.000478762
38,28354.3,0.51191,0.46495,1.14059,0.93961,0.82382,0.8688,0.742,0.70449,0.71624,1.38512,0.000445756,0.000445756,0.000445756
39,30093.5,0.51625,0.4637,1.14001,0.88911,0.80797,0.83926,0.7041,0.78714,0.79169,1.55748,0.000412749,0.000412749,0.000412749
40,30834.5,0.50567,0.46917,1.13458,0.91288,0.78752,0.85247,0.72123,0.77481,0.76827,1.55091,0.000379743,0.000379743,0.000379743
41,31452.6,0.33389,0.32958,1.02223,0.8993,0.83145,0.85411,0.71526,0.75037,0.74381,1.50064,0.000346736,0.000346736,0.000346736
42,32067.4,0.32863,0.31122,1.02475,0.89303,0.86881,0.89563,0.75294,0.67523,0.64425,1.38861,0.000313729,0.000313729,0.000313729
43,33365.7,0.31707,0.30238,1.01395,0.91878,0.84435,0.88323,0.7513,0.68686,0.68798,1.43537,0.000280723,0.000280723,0.000280723
44,36926.6,0.30005,0.2914,1.00363,0.92388,0.85593,0.87933,0.75455,0.68335,0.67836,1.43755,0.000247716,0.000247716,0.000247716
45,37630.3,0.30057,0.27782,1.00494,0.87615,0.84318,0.87557,0.7515,0.69851,0.71674,1.47484,0.00021471,0.00021471,0.00021471
46,38249.1,0.29072,0.27073,1.00132,0.89125,0.85023,0.886,0.76468,0.65312,0.66135,1.40967,0.000181703,0.000181703,0.000181703
47,38872.9,0.28423,0.25718,0.98737,0.90539,0.85257,0.88244,0.7581,0.68112,0.66237,1.4419,0.000148696,0.000148696,0.000148696
48,39502.6,0.27602,0.25054,0.98173,0.88183,0.85727,0.86892,0.75156,0.67212,0.65962,1.453,0.00011569,0.00011569,0.00011569
49,40165.5,0.27374,0.23832,0.98509,0.90171,0.85924,0.87503,0.76406,0.66526,0.63624,1.44525,8.26832e-05,8.26832e-05,8.26832e-05
50,40626.3,0.26011,0.22905,0.96699,0.90516,0.85962,0.87801,0.76112,0.66092,0.63982,1.43326,4.96766e-05,4.96766e-05,4.96766e-05
