epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,651.572,0.73753,1.73545,1.31135,0.68775,0.57378,0.62473,0.40334,1.07022,2.57738,1.98055,0.000550054,0.000550054,0.000550054
2,1286.62,0.82801,1.27634,1.34928,0.73257,0.67638,0.72608,0.44772,1.34631,2.12957,2.27176,0.00108383,0.00108383,0.00108383
3,1925.7,0.8498,1.15997,1.3669,0.32324,0.51396,0.31811,0.14979,1.60718,3.83244,2.5753,0.0015956,0.0015956,0.0015956
4,2565.67,0.86348,1.07149,1.37924,0.72923,0.69383,0.68164,0.47785,1.12318,1.51958,1.97433,0.00156798,0.00156798,0.00156798
5,3205.7,0.84982,0.99679,1.36216,0.5806,0.59998,0.5337,0.36493,1.39127,1.90869,2.30914,0.00153497,0.00153497,0.00153497
6,3841.05,0.78926,0.91617,1.32726,0.59075,0.55185,0.54288,0.31892,1.5186,1.73453,2.44874,0.00150197,0.00150197,0.00150197
7,4471.25,0.77356,0.86384,1.3126,0.8773,0.76899,0.82038,0.60799,1.00333,1.18274,1.7924,0.00146896,0.00146896,0.00146896
8,5141.45,0.74689,0.85091,1.28878,0.88145,0.75348,0.79826,0.615,1.06061,1.11205,1.83366,0.00143595,0.00143595,0.00143595
9,5597.98,0.72345,0.80666,1.28798,0.8656,0.74813,0.80663,0.61378,0.98397,1.1168,1.79912,0.00140295,0.00140295,0.00140295
10,6037.43,0.72074,0.77154,1.27068,0.86548,0.79792,0.81149,0.62766,1.11716,1.0546,2.07441,0.00136994,0.00136994,0.00136994
11,6476.41,0.71333,0.7246,1.27449,0.87531,0.77829,0.8311,0.64515,0.93955,0.93133,1.65248,0.00133693,0.00133693,0.00133693
12,6905.59,0.68094,0.70981,1.25134,0.82968,0.75017,0.7867,0.59958,1.04742,1.12973,2.01993,0.00130393,0.00130393,0.00130393
13,7381.45,0.67902,0.6919,1.25207,0.88102,0.77778,0.84888,0.67213,0.93226,0.98169,1.69591,0.00127092,0.00127092,0.00127092
14,8006.93,0.65284,0.68925,1.23717,0.85688,0.818,0.85433,0.67111,0.86961,0.91883,1.59842,0.00123791,0.00123791,0.00123791
15,8632.31,0.65773,0.70649,1.23942,0.76089,0.71823,0.76326,0.58708,0.99797,1.1195,1.8255,0.00120491,0.00120491,0.00120491
16,9257.33,0.66653,0.68924,1.24029,0.87285,0.78747,0.83456,0.63028,0.94608,0.96719,1.68489,0.0011719,0.0011719,0.0011719
17,9881.53,0.65159,0.68372,1.22753,0.87545,0.81032,0.84827,0.67822,0.89695,0.92804,1.57702,0.00113889,0.00113889,0.00113889
18,10506.7,0.65439,0.65184,1.22612,0.87334,0.81132,0.83175,0.67667,0.84452,0.89899,1.6551,0.00110589,0.00110589,0.00110589
19,11133.3,0.63103,0.62794,1.22475,0.8456,0.76337,0.83815,0.69222,0.82241,0.93517,1.58316,0.00107288,0.00107288,0.00107288
20,11663.4,0.61595,0.63326,1.20863,0.8987,0.83353,0.87187,0.70042,0.84933,0.80321,1.60017,0.00103987,0.00103987,0.00103987
